id,name,depto,lon,lat
44847,URIBIA,LA GUAJIRA,-71.79311,11.98791
44560,MANAURE,LA GUAJIRA,-72.5708,11.60607
44430,MAICAO,LA GUAJIRA,-72.2937,11.3845
44001,RIOHACHA,LA GUAJIRA,-72.958,11.24783
44090,DIBULLA,LA GUAJIRA,-73.43917,11.09236
47001,SANTA MARTA,MAGDALENA,-73.9127,11.10574
44378,HATONUEVO,LA GUAJIRA,-72.71872,11.09984
44078,BARRANCAS,LA GUAJIRA,-72.70151,10.95317
47189,CIENAGA,MAGDALENA,-74.04008,10.88686
08001,BARRANQUILLA,ATLANTICO,-74.83367,10.97941
47745,SITIONUEVO,MAGDALENA,-74.63808,10.86357
08573,PUERTO COLOMBIA,ATLANTICO,-74.90993,11.00017
44098,DISTRACCION,LA GUAJIRA,-72.95522,10.89965
44279,FONSECA,LA GUAJIRA,-72.78868,10.78653
44650,SAN JUAN DEL CESAR,LA GUAJIRA,-73.06167,10.77839
47570,PUEBLOVIEJO,MAGDALENA,-74.37932,10.8309
08832,TUBARA,ATLANTICO,-74.98183,10.89676
08296,GALAPA,ATLANTICO,-74.87953,10.89627
08758,SOLEDAD,ATLANTICO,-74.78521,10.89776
08433,MALAMBO,ATLANTICO,-74.80641,10.83736
08372,JUAN DE ACOSTA,ATLANTICO,-75.07308,10.81549
20001,VALLEDUPAR,CESAR,-73.43194,10.43251
47053,ARACATACA,MAGDALENA,-73.91027,10.61973
08078,BARANOA,ATLANTICO,-74.91985,10.78266
08634,SABANAGRANDE,ATLANTICO,-74.76908,10.78752
08558,POLONUEVO,ATLANTICO,-74.85362,10.75837
08549,PIOJO,ATLANTICO,-75.15411,10.73449
08849,USIACURI,ATLANTICO,-74.99272,10.73741
13673,SANTA CATALINA,BOLIVAR,-75.27944,10.68527
08685,SANTO TOMAS,ATLANTICO,-74.79977,10.72842
08520,PALMAR DE VARELA,ATLANTICO,-74.77375,10.68564
47268,EL RETEN,MAGDALENA,-74.36238,10.66814
47605,REMOLINO,MAGDALENA,-74.60089,10.63097
08638,SABANALARGA,ATLANTICO,-74.95465,10.61313
08560,PONEDERA,ATLANTICO,-74.80239,10.58016
08421,LURUACO,ATLANTICO,-75.16833,10.62287
13001,CARTAGENA,BOLIVAR,-75.46234,10.41852
20570,PUEBLO BELLO,CESAR,-73.67303,10.26725
47551,PIVIJAY,MAGDALENA,-74.40893,10.40518
44874,VILLANUEVA,LA GUAJIRA,-72.97142,10.56846
44110,EL MOLINO,LA GUAJIRA,-72.82924,10.57639
47288,FUNDACION,MAGDALENA,-73.89396,10.44997
13222,CLEMENCIA,BOLIVAR,-75.30359,10.53451
08606,REPELON,ATLANTICO,-75.13519,10.49573
47675,SALAMINA,MAGDALENA,-74.72599,10.49651
08141,CANDELARIA,ATLANTICO,-74.88261,10.4708
44855,URUMITA,LA GUAJIRA,-72.97948,10.47721
08436,MANATI,ATLANTICO,-74.99249,10.44114
13683,SANTA ROSA,BOLIVAR,-75.34979,10.43532
13873,VILLANUEVA,BOLIVAR,-75.25801,10.41372
47258,EL PI¥ON,MAGDALENA,-74.68058,10.3364
08137,CAMPO DE LA CRUZ,ATLANTICO,-74.8966,10.37664
20621,LA PAZ,CESAR,-73.24523,10.12133
13647,SAN ESTANISLAO,BOLIVAR,-75.20304,10.336
20443,MANAURE,CESAR,-72.97955,10.36879
13760,SOPLAVIENTO,BOLIVAR,-75.11564,10.30615
13620,SAN CRISTOBAL,BOLIVAR,-75.09152,10.35501
13836,TURBACO,BOLIVAR,-75.37302,10.32225
20238,EL COPEY,CESAR,-73.92928,10.18274
08675,SANTA LUCIA,ATLANTICO,-74.97373,10.33479
47161,CERRO SAN ANTONIO,MAGDALENA,-74.82485,10.29037
13140,CALAMAR,BOLIVAR,-74.99889,10.2167
20750,SAN DIEGO,CESAR,-73.24997,10.23423
08770,SUAN,ATLANTICO,-74.9157,10.2956
13052,ARJONA,BOLIVAR,-75.36559,10.13191
13433,MAHATES,BOLIVAR,-75.18118,10.15536
13838,TURBANA,BOLIVAR,-75.43596,10.20391
47541,PEDRAZA,MAGDALENA,-74.83371,10.1523
47170,CHIVOLO,MAGDALENA,-74.5456,10.08568
20013,AGUSTIN CODAZZI,CESAR,-73.26495,9.928586
13248,EL GUAMO,BOLIVAR,-74.92442,10.02432
70713,SAN ONOFRE,SUCRE,-75.50077,9.801193
13657,SAN JUAN NEPOMUCENO,BOLIVAR,-75.07131,9.94679
13442,MARIA LA BAJA,BOLIVAR,-75.34286,9.960286
20060,BOSCONIA,CESAR,-73.8853,9.926435
47798,TENERIFE,MAGDALENA,-74.73061,9.912014
47555,PLATO,MAGDALENA,-74.59934,9.76195
47058,ARIGUAINI,MAGDALENA,-74.09357,9.822951
20045,BECERRIL,CESAR,-73.24198,9.729375
13654,SAN JACINTO,BOLIVAR,-75.11444,9.816496
13244,EL CARMEN DE BOLIVAR,BOLIVAR,-75.15623,9.692307
20250,EL PASO,CESAR,-73.71207,9.655993
13894,ZAMBRANO,BOLIVAR,-74.89838,9.738319
47707,SANTA ANA,MAGDALENA,-74.31701,9.527052
47545,PIJI¥O DEL CARMEN,MAGDALENA,-74.22217,9.466247
70508,OVEJAS,SUCRE,-75.18161,9.552962
20400,LA JAGUA DE IBIRICO,CESAR,-73.33343,9.535679
70230,CHALAN,SUCRE,-75.31879,9.571973
13212,CORDOBA,BOLIVAR,-74.88965,9.534568
70823,TOLUVIEJO,SUCRE,-75.43805,9.48662
70204,COLOSO,SUCRE,-75.3586,9.509957
20178,CHIRIGUANA,CESAR,-73.54122,9.406998
20032,ASTREA,CESAR,-73.97501,9.487158
70717,SAN PEDRO,SUCRE,-75.02295,9.407932
20175,CHIMICHAGUA,CESAR,-73.76706,9.215996
70418,LOS PALMITOS,SUCRE,-75.20348,9.421684
70473,MORROA,SUCRE,-75.31794,9.381072
47692,SAN SEBASTIAN DE BUENAVISTA,MAGDALENA,-74.21261,9.329108
47703,SAN ZENON,MAGDALENA,-74.35909,9.305148
13430,MAGANGUE,BOLIVAR,-74.73612,9.143161
70110,BUENAVISTA,SUCRE,-74.95286,9.313969
23672,SAN ANTERO,CORDOBA,-75.76426,9.348631
23675,SAN BERNARDO DEL VIENTO,CORDOBA,-75.95263,9.322933
70001,SINCELEJO,SUCRE,-75.42587,9.307115
13780,TALAIGUA NUEVO,BOLIVAR,-74.65217,9.316445
70742,SINCE,SUCRE,-75.06541,9.243556
70523,PALMITO,SUCRE,-75.57253,9.325755
70702,SAN JUAN DE BETULIA,SUCRE,-75.19122,9.282399
20228,CURUMANI,CESAR,-73.49241,9.211656
47318,GUAMAL,MAGDALENA,-74.1547,9.219634
70215,COROZAL,SUCRE,-75.24896,9.203182
47245,EL BANCO,MAGDALENA,-73.99698,9.103168
23500,MO¥ITOS,CORDOBA,-76.10958,9.200728
23417,LORICA,CORDOBA,-75.90234,9.153724
23586,PURISIMA,CORDOBA,-75.70802,9.248229
23464,MOMIL,CORDOBA,-75.63225,9.233096
13468,MOMPOS,BOLIVAR,-74.58371,9.122274
13188,CICUCO,BOLIVAR,-74.69061,9.226952
54245,EL CARMEN,NORTE DE SANTANDER,-73.34954,8.845617
23670,SAN ANDRES DE SOTAVENTO,CORDOBA,-75.51352,9.135675
54206,CONVENCION,NORTE DE SANTANDER,-73.24032,8.790914
13650,SAN FERNANDO,BOLIVAR,-74.40827,9.073318
70670,SAMPUES,SUCRE,-75.35313,9.154635
23168,CHIMA,CORDOBA,-75.63524,9.092608
13440,MARGARITA,BOLIVAR,-74.2781,9.060267
70235,GALERAS,SUCRE,-74.97425,9.131031
23300,COTORRA,CORDOBA,-75.77486,9.052188
23182,CHINU,CORDOBA,-75.35736,9.005333
54800,TEORAMA,NORTE DE SANTANDER,-73.16534,8.745766
23574,PUERTO ESCONDIDO,CORDOBA,-76.17502,8.992732
54810,TIBU,NORTE DE SANTANDER,-72.82881,8.673108
70678,SAN BENITO ABAD,SUCRE,-74.96945,8.833166
23686,SAN PELAYO,CORDOBA,-75.90688,8.972413
20787,TAMALAMEQUE,CESAR,-73.77718,8.860908
13549,PINILLOS,BOLIVAR,-74.37798,8.821167
20517,PAILITAS,CESAR,-73.5895,8.923357
70771,SUCRE,SUCRE,-74.75172,8.810815
23189,CIENAGA DE ORO,CORDOBA,-75.60284,8.82828
13300,HATILLO DE LOBA,BOLIVAR,-74.1207,8.963525
23660,SAHAGUN,CORDOBA,-75.43033,8.782344
13268,EL PE¥ON,BOLIVAR,-73.94465,8.81537
13667,SAN MARTIN DE LOBA,BOLIVAR,-74.04233,8.80373
23419,LOS CORDOBAS,CORDOBA,-76.29834,8.875225
23162,CERETE,CORDOBA,-75.81881,8.878826
13074,BARRANCO DE LOBA,BOLIVAR,-74.16033,8.816118
23001,MONTERIA,CORDOBA,-75.95426,8.581458
70124,CAIMITO,SUCRE,-75.10674,8.772247
05051,ARBOLETES,ANTIOQUIA,-76.4216,8.642461
20550,PELAYA,CESAR,-73.60733,8.768689
70400,LA UNION,SUCRE,-75.2934,8.793902
23678,SAN CARLOS,CORDOBA,-75.68835,8.694559
23090,CANALETE,CORDOBA,-76.25486,8.746186
54250,EL TARRA,NORTE DE SANTANDER,-73.05004,8.651223
13030,ALTOS DEL ROSARIO,BOLIVAR,-74.22676,8.73634
13580,REGIDOR,BOLIVAR,-73.86092,8.701461
05659,SAN JUAN DE URABA,ANTIOQUIA,-76.50824,8.680731
13006,ACHI,BOLIVAR,-74.50312,8.582427
20383,LA GLORIA,CESAR,-73.64718,8.594419
70429,MAJAGUAL,SUCRE,-74.71917,8.539694
70708,SAN MARCOS,SUCRE,-75.16433,8.573875
05490,NECOCLI,ANTIOQUIA,-76.678,8.53229
13600,RIO VIEJO,BOLIVAR,-74.07362,8.422858
27006,ACANDI,CHOCO,-77.29799,8.4034
13810,TIQUISIO,BOLIVAR,-74.30256,8.476048
05665,SAN PEDRO DE URABA,ANTIOQUIA,-76.31415,8.420485
23570,PUEBLO NUEVO,CORDOBA,-75.39442,8.460778
54670,SAN CALIXTO,NORTE DE SANTANDER,-73.16234,8.439239
23555,PLANETA RICA,CORDOBA,-75.61271,8.310956
70265,GUARANDA,SUCRE,-74.68315,8.365752
20011,AGUACHICA,CESAR,-73.62073,8.241805
23068,AYAPEL,CORDOBA,-75.04256,8.239135
54344,HACARI,NORTE DE SANTANDER,-73.09291,8.341142
20295,GAMARRA,CESAR,-73.72054,8.30964
13473,MORALES,BOLIVAR,-73.93604,8.247448
13458,MONTECRISTO,BOLIVAR,-74.4549,7.992365
20310,GONZALEZ,CESAR,-73.39628,8.3642
54720,SARDINATA,NORTE DE SANTANDER,-72.81695,8.231858
05837,TURBO,ANTIOQUIA,-76.73415,8.002047
23855,VALENCIA,CORDOBA,-76.22083,8.22537
54001,CUCUTA,NORTE DE SANTANDER,-72.51774,8.070012
54498,OCA¥A,NORTE DE SANTANDER,-73.34602,8.213101
13655,SAN JACINTO DEL CAUCA,BOLIVAR,-74.66147,8.162946
54553,PUERTO SANTANDER,NORTE DE SANTANDER,-72.4594,8.302841
27800,UNGUIA,CHOCO,-77.10955,8.103151
23079,BUENAVISTA,CORDOBA,-75.44194,8.173683
23807,TIERRALTA,CORDOBA,-76.17378,7.803673
54398,LA PLAYA,NORTE DE SANTANDER,-73.20513,8.238442
20614,RIO DE ORO,CESAR,-73.50289,8.157465
13042,ARENAL,BOLIVAR,-74.1317,8.194114
54261,EL ZULIA,NORTE DE SANTANDER,-72.65563,8.064152
54003,ABREGO,NORTE DE SANTANDER,-73.1816,7.997419
05495,NECHI,ANTIOQUIA,-74.85487,7.995346
54109,BUCARASICA,NORTE DE SANTANDER,-72.94372,8.057358
23466,MONTELIBANO,CORDOBA,-75.72347,7.876332
05250,EL BAGRE,ANTIOQUIA,-74.67569,7.74198
13744,SIMITI,BOLIVAR,-73.9758,7.814082
23350,LA APARTADA,CORDOBA,-75.29881,8.027544
68575,PUERTO WILCHES,SANTANDER,-73.80161,7.534244
13688,SANTA ROSA DEL SUR,BOLIVAR,-74.27255,7.695399
20770,SAN MARTIN,CESAR,-73.60673,7.911194
54871,VILLA CARO,NORTE DE SANTANDER,-73.0035,7.912717
05045,APARTADO,ANTIOQUIA,-76.56943,7.901676
05154,CAUCASIA,ANTIOQUIA,-75.01056,7.841797
20710,SAN ALBERTO,CESAR,-73.46408,7.834083
54418,LOURDES,NORTE DE SANTANDER,-72.8651,7.939063
54313,GRAMALOTE,NORTE DE SANTANDER,-72.81841,7.876848
05120,CACERES,ANTIOQUIA,-75.23089,7.663949
23580,PUERTO LIBERTADOR,CORDOBA,-75.78005,7.67819
54680,SANTIAGO,NORTE DE SANTANDER,-72.73375,7.867683
54673,SAN CAYETANO,NORTE DE SANTANDER,-72.63433,7.826589
27615,RIOSUCIO,CHOCO,-77.34297,7.370966
05147,CAREPA,ANTIOQUIA,-76.65882,7.799108
54660,SALAZAR,NORTE DE SANTANDER,-72.89031,7.752382
54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,-72.52053,7.751229
54128,CACHIRA,NORTE DE SANTANDER,-73.1931,7.654542
